group,TV ABERTA
ext,SBT - TV Serra Dourada - (GO),https://5a1c76baf08c0.streamlock.net/tvsd2/smil:tvsd2_20042020.smil/playlist.m3u8
ext,SBT Rede Massa (PR),https://cdn-cdn-iguacu.ciclano.io:1443/cdn-iguacu/cdn-iguacu/playlist.m3u8
ext,SBT TV Paraense (PA),https://streaming.portaltvparaense.com.br/rtp_live/index.m3u8
ext,SBT TV Guajará (PA),https://livefocamundo.com:8081/tvguajaraonline2/index.m3u8
ext,SBT - TV Jornal (PE),http://evpp.mm.uol.com.br:1935/ne10/ne10.smil/playlist.m3u8
ext,SBT - TV Jornal Caruaru (PE),http://evpp.mm.uol.com.br/ne10/ne10-tvjornal-caruaru-video-web.sdp/playlist.m3u8
ext,SBT TV Aratu (BA),https://cdn.jmvstream.com/w/LVW-8379/LVW8379_rIq6ZYiIiA/playlist.m3u8
ext,RecordTV MT,https://cdn.jmvstream.com/w/LVW-10842/LVW10842_513N26MDBL/playlist.m3u8
ext,RecordTV MT 2,https://cdn.jmvstream.com/w/LVW-10841/LVW10841_mT77z9o2cP/playlist.m3u8
ext,RecordTV RN,https://59f2354c05961.streamlock.net:1443/portaldatropical/_definst_/portaldatropical/playlist.m3u8
ext,RecordTV NDTV SC,https://caikron.com.br:19360/criciuma/criciuma.m3u8
ext,Band Indisponível,https://evpp.mm.uol.com.br/geob_band/band/playlist.m3u8
ext,Band - RBA TV (PA),https://5cf4a2c2512a2.streamlock.net:443/rbatv/rbatv/playlist.m3u8
ext,RedeTV! TV Arapuan HD (PB),https://5b7f3c45ab7c2.streamlock.net/arapuan/ngrp:arapuan_all/playlist.m3u8
ext,TV Pampa - RedeTV! RS,https://59f1cbe63db89.streamlock.net:1443/tvpampa/_definst_/tvpampa/playlist.m3u8
ext,RedeTV! Tocantins,https://59f1cbe63db89.streamlock.net:1443/redetvro/_definst_/redetvro/playlist.m3u8
ext,RedeTV! TV Pantanal (MT),https://5a2b083e9f360.streamlock.net/tvpantanal/tvpantanal.sdp/playlist.m3u8
ext,YEEAAH TV,http://srv3.zcast.com.br/yeeaah/yeeaah/playlist.m3u8
ext,TV Gazeta SP,https://5ad482a77183d.streamlock.net/financeirotvc21.com.br/financeirotvc21.com.br/playlist.m3u8
ext,Rede Brasil (SP),https://5cf4a2c2512a2.streamlock.net/rbtv/rbtv/playlist.m3u8
ext,Brasil Oeste (MT),https://5ad482a77183d.streamlock.net/operacaotbomt.com/operacaotbomt.com/playlist.m3u8
ext,TV Várzea Grande (MT),https://video02.kshost.com.br/adauton7191/adauton7191/playlist.m3u8
ext,Rede Metrópole,http://187.33.200.235:9000/hls/redemetropole.m3u8
ext,TV União (DF),https://596639ebdd89b.streamlock.net/tvuniao/tvuniao/playlist.m3u8
ext,Rede Família,https://5a1c76baf08c0.streamlock.net/familia/smil:familia.smil/playlist.m3u8
ext,TV8 Brasil,https://cdn.jmvstream.com/w/LVW-9773/ngrp:LVW9773_eRZLMN9Hsr_all/playlist.m3u8
ext,TV Zona da Mata - TV Brasil,https://video01.logicahost.com.br/tvzonadamata/tvzonadamata/playlist.m3u8
ext,Rede Brasil - TV Marajoara (PA),http://video01.kshost.com.br/tv31966/tv31966/playlist.m3u8
ext,Central TV,https://serv1.redecentraltv.videovox.pw/serv1-redecentraltv/serv1-redecentraltv/chunklist_w2100483638.m3u8
AmazonSat.br,Amazon Sat,https://amazonsat.brasilstream.com.br/hls/amazonsat/index.m3u8
ext,Rede Premium,https://5c483b9d1019c.streamlock.net/8066/8066/playlist.m3u8
ext,Rede UTV,https://srv4.zcast.com.br/redetvoficial/redetvoficial/playlist.m3u8
ext,Adesso TV,https://cdn.jmvstream.com/w/LVW-9715/LVW9715_12B26T62tm/chunklist.m3u8
ext,TV MAX,https://59f1cbe63db89.streamlock.net:1443/tvmax/_definst_/tvmax/playlist.m3u8
ext,RDC,https://596639ebdd89b.streamlock.net/datavideo01/datavideo01/chunklist.m3u8
ext,TV Mon,https://srv1.zcast.com.br/tvmon/tvmon/playlist.m3u8
ext,NGT,https://cdn.jmvstream.com/w/LVW-10431/ngrp:LVW10431_AREnhc6KcP_all/playlist.m3u8
ext,TV Diário do Sertão,http://painelvj.com.br:1935/pdsertaotv/pdsertaotv.sdp/playlist.m3u8
ext,ISTV,https://cdn.jmvstream.com/w/LVW-9883/LVW9883_lFcfKysrHF/playlist.m3u8
ext,TV Natal,https://stmv1.srvstm.com/antonioflavio9545/antonioflavio9545/playlist.m3u8
ext,TV Candidés,https://cdn.jmvstream.com/w/LVW-8067/ngrp:LVW8067_ZffQjxn7UC_all/chunklist.m3u8
ext,TV Japi,https://srv2.zcast.com.br/tvjapi/tvjapi/playlist.m3u8
ext,TV Mar,https://virtues.es:1936/tvmar/tvmar/playlist.m3u8
Terraviva.br,Terra Viva,http://evpp.mm.uol.com.br:1935/band_live/terraviva/playlist.m3u8
ext,Agro Mais,https://evpp.mm.uol.com.br/geob_band/agromais/playlist.m3u8
Canalrural.br,Canal Rural,https://607d2a1a47b1f.streamlock.net/crur/smil:canalrural.smil/playlist.m3u8
ext,TV Verdes Campos SAT,https://596639ebdd89b.streamlock.net/8124/8124/chunklist.m3u8
ext,AgroBrasil TV,https://server.flixtv.com.br/agrobrasiltv/agrobrasiltv/playlist.m3u8
ext,TV Santa Cecília (SP),http://flash1.crossdigital.com.br:1935/2063/2063/live.m3u8
ext,Mundo TV,https://59f1cbe63db89.streamlock.net:1443/mundotv/_definst_/mundotv/playlist.m3u8
ext,TV Brusque (SC),https://5ad482a77183d.streamlock.net/rodrigotvbrusque.com.br/_definst_/5d880199c902eb4a1e8df00d/playlist.m3u8
Cnt.br,CNT,https://dd8umsy8yf96u.cloudfront.net/live/cnt-curitiba.m3u8
ext,SIC (apenas em Portugal),https://d1zx6l1dn8vaj5.cloudfront.net/out/v1/b89cc37caa6d418eb423cf092a2ef970/index_4.m3u8
arirang-en,Arirang,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
ext,NHK Japan,http://nhkworld.webcdn.stream.ne.jp/www11/nhkworld-tv/global/2003458/live.m3u8
Deutschewelle.br,Deutsche Welle,https://dwamdstream102.akamaized.net/hls/live/2015525/dwstream102/index.m3u8
LA1.es,La 1,hlslive_1@583043/index_1500_av-p.m3u8">https://hlsliveamdgl7-lh.akamaihd.net/i/hlslive_1@583043/index_1500_av-p.m3u8
TVGalicia.sp,TV Galícia,https://europa-crtvg.flumotion.com/crtvg/europa_high/playlist.m3u8
CanalExtremadura.es,Canal Extremadura,https://cdnlive.codev8.net/canalextremaduralive/smil:channel1.smil/playlist.m3u8
ext,RTVE,hlsdvrlive_1@583042/master.m3u8">https://hlsliveamdgl7-lh.akamaihd.net/i/hlsdvrlive_1@583042/master.m3u8
cctv,CCTV,https://cctvcnchwh5c.v.cdn20.com/live/cdrmcctv1_1/index.m3u8
ext,SIC TV  Local - Record Rondônia,http://5953e7f9ae845.streamlock.net/2502/2502/chunklist.m3u8

group,Música
ext,KpopTV Play,https://srv1.zcast.com.br/kpoptv/kpoptv/playlist.m3u8
ext,KroneHIT,https://bitcdn-kronehit.bitmovin.com/v2/hls/playlist.m3u8
ext,1Mus,http://hz1.teleport.cc/HLS/HD.m3u8
ext,MAIS UM,https://stream.ichibantv.ga:3230/hybrid/play.m3u8
retro,Retrô TV,http://stream.mediawork.cz/retrotv/smil:retrotv2.smil/playlist.m3u8
CapitalTV.uk,Capital TV,https://4c4b867c89244861ac216426883d1ad0.msvdn.net/live/S35394734/Z6U2wGoDYANk/playlist.m3u8
ext,M2O,https://4c4b867c89244861ac216426883d1ad0.msvdn.net/live/S62628868/uhdWBlkC1AoO/playlist.m3u8
ext,Music Top,http://live-edge01.telecentro.net.ar/live/smil:musictop.smil/playlist.m3u8
ext,TopTV,https://cast.cdnseguro.com:19360/8092/8092.m3u8
ext,TopTV - TV Estado,https://cdn.jmvstream.com/w/AVJ-10205/playlist/playlist.m3u8
KissTV.uk,Kiss TV,https://cast.cdnseguro.com:19360/8094/8094.m3u8
ext,Gospel Music,https://stmv1.srvif.com/gmusic/gmusic/playlist.m3u8
ext,RTL (Itália),https://dd782ed59e2a4e86aabf6fc508674b59.msvdn.net/live/S97044836/tbbP8T1ZRPBL/playlist_video.m3u8
ext,Otto Fm TV,http://streaming.bitonlive.net:8080/hls/ottofm2/204_203/index.m3u8
ext,RadioU,https://cdnlive.radiou.com/LS-ATL-43240-1/tracks-v1a1/mono.m3u8
RockTV.it,Rock TV,https://fms-https1.mediadirect.ro/live3/_definst_/rocktv.smil/playlist.m3u8?publisher=83
ext,Top Latino TV,https://5cefcbf58ba2e.streamlock.net/tltvweb/tvweb.stream/playlist.m3u8
ext,Ocko Star,https://ocko-live-dash.ssl.cdn.cra.cz/cra_live2/ocko_gold.stream.1.smil/manifest.m3u8
4fun.pl,4Fun TV,https://stream.4fun.tv:8888/hls/4f_high/index.m3u8
ext,Colosal TV,http://tv.ticosmedia.com:1935/COLOSAL/COLOSAL/playlist.m3u8
ext,Retro Plus,https://59f1cbe63db89.streamlock.net:1443/retroplustv/_definst_/retroplustv/playlist.m3u8
ext,The Retro Channel,https://5fd5567570c0e.streamlock.net/theretrochannel/stream/playlist.m3u8
ext,ZAPPING MUSIC,https://zmlive.zappingtv.com/zm-free/zm.smil/playlist.m3u8
ext,TV ALVORADA SERTANEJA,http://stmv6.srvstm.com/tvalvoradasertaneja/tvalvoradasertaneja/playlist.m3u8
ext,XTV MUSIC,https://tls-cl.cdnz.cl/xtv/live/playlist.m3u8
ext,TV MAXIMA,https://tvdatta.com:3279/hybrid/play.m3u8
ext,RADIO CONTACT,CONTACT_1@321283/master.m3u8">http://contact-lh.akamaihd.net/i/CONTACT_1@321283/master.m3u8
ext,CAROLINA TV,http://unlimited1-us.dps.live/carolinatv/carolinatv.smil/playlist.m3u8
ext,88 STEREO,http://k3.usastreams.com:1935/CableLatino/88stereo/playlist.m3u8
PowerTV.pl,POWER TV,http://wowza.telpin.com.ar:1936/live-powerTV/power.stream/playlist.m3u8
538.nl,TV 538,https://radio538-nl.prd.talpatvcdn.nl/69b995a427c84417bb6a53a1a2a18e4d/index.m3u8
4fun.pl,4FUN TV,https://stream.4fun.tv:8888/hls/4f_med/index.m3u8
ext,ON FM TV,https://5ce9406b73c33.streamlock.net/ONFM/livestream/playlist.m3u8
rutv,RU TV,https://rutv.gcdn.co/streams/1410_95/480n/index.m3u8
PowerTV.pl,POWER TV,https://livetv.powerapp.com.tr/powerTV/powerhd.smil/playlists.m3u8
LorFMTV.fr,LFM TV,https://edge8.vedge.infomaniak.com/livecast/smil:lfmmd.smil/chunklist_w846223479_b1600000.m3u8
ext,PORTAL FOXMIX,https://593b04c4c5670.streamlock.net/portalfoxmix/portalfoxmix/chunklist_w393614848.m3u8
ext,TIERRA MIA TV,https://live-edge01.telecentro.net.ar/live/smil:trm.smil/playlist.m3u8
ext,CATEDRAL DO ROCK TV,https://stmv1.srvstm.com/catedraldorock/catedraldorock/playlist.m3u8
ext,RADIO 21,http://api.new.livestream.com/accounts/22300508/events/6675945/live.m3u8

group,WebTV
ext,AniTV,https://stream.ichibantv.ga:3764/hybrid/play.m3u8
ext,StrikerVerso,https://srv3.zcast.com.br/leonardo2328/leonardo2328/playlist.m3u8
ext,XTreme,https://stmv1.voxtvhd.com.br/xtremetv/xtremetv/playlist.m3u8
ext,Anime TV - WebTV,https://stmv1.srvif.com/animetv/animetv/playlist.m3u8
ext,Loading - Web TV,https://stmv.video.expressolider.com.br/loadingtv/loadingtv/playlist.m3u8
ext,Ghost - WebTV,https://stmv.video.expressolider.com.br/ghostv/ghostv/playlist.m3u8
ext,Jetsons - Webtv,https://stmv1.srvif.com/jetsontv/jetsontv/playlist.m3u8
ext,AWTV,https://video01.logicahost.com.br/awtv/awtv/playlist.m3u8
VintageTV.uk,Vintage TV,https://stmv1.srvif.com/webvintage/webvintage/playlist.m3u8
ext,TVBS - Web TV,https://srv1.zcast.com.br/tvbs/tvbs/playlist.m3u8
ext,Rede Clone - WebTV,https://stmv2.samcast.com.br/redeclonetv/redeclonetv/playlist.m3u8
ext,Via Morena,https://5ad482a77183d.streamlock.net/cleuzaviamorena.com/cleuzaviamorena.com/playlist.m3u8
ext,TV Pantanal MS - WebTV,https://5e837408ea907.streamlock.net:1936/tvpantanalms/tvpantanalms/playlist.m3u8
ext,TV Rio Madeira - WebTV,https://stmv1.srvif.com/tvriomadeira/tvriomadeira/playlist.m3u8
ext,TV Vale das Artes - WebTV,https://59f1cbe63db89.streamlock.net:1443/tvvaledasartes/_definst_/tvvaledasartes/playlist.m3u8
ext,Rede TV Sul - WebTV,https://novo.bitstreaming.info:1936/8032/8032/playlist.m3u8
ext,TV Atividade - WebTV,https://59f2354c05961.streamlock.net:1443/redeatividade/_definst_/redeatividade/playlist.m3u8
ext,TV Aracati,https://livefocamundo.com:8081/tvaracati/index.m3u8
ext,TV Birigui,https://59f2354c05961.streamlock.net:1443/tvdigitalbirigui/_definst_/tvdigitalbirigui/chunklist_w763334596.m3u8
ext,TV Carioca,https://srv5.zcast.com.br/tvcarioca/tvcarioca/playlist.m3u8
ext,Canal 29 - WebTV,https://stmv1.srvif.com/canal29/canal29/playlist.m3u8
ext,Bons Tempos TV - WebTV,https://tv01.livemustv.com.br/rivaldo6209/rivaldo6209/playlist.m3u8
ext,TV Destak - WebTV,https://59f2354c05961.streamlock.net:1443/pascoal/_definst_/pascoal/playlist.m3u8
ext,TV Séries - WebTV,https://stmv1.srvif.com/tvserie/tvserie/playlist.m3u8
ext,TV Sjid (BA),https://livefocamundo.com:8081/tvjsid/index.m3u8
ext,TV Gallo - WebTV,https://5c483b9d1019c.streamlock.net/8202/8202/playlist.m3u8
ext,TV Zoom,https://cdn.jmvstream.com/w/LVW-9730/LVW9730_LmUwslM8jt/playlist.m3u8
ext,TV Master,https://virtues.es:1936/tvmaster/tvmaster/playlist.m3u8

group,Jornalismo
Recordnews.br,Record News,https://5cf4a2c2512a2.streamlock.net/8016/8016/playlist.m3u8
France24.fr,France 24,http://static.france24.com/live/F24_ES_LO_HLS/live_web.m3u8
tv5monde,TV5 Monde Info,https://ott.tv5monde.com/Content/HLS/Live/channel(info)/variant.m3u8
AlJazeera.nws,Al Jazeera English,https://live-hls-web-aje.getaj.net/AJE/index.m3u8
Bloomberg.nws,Bloomberg TV,https://www.bloomberg.com/media-manifest/streams/phoenix-us.m3u8
ext,CBS News,CBSNHD_7@199302/master.m3u8">https://cbsnewshd-lh.akamaihd.net/i/CBSNHD_7@199302/master.m3u8
24Horas.sp,TVE 24,hlsdvrlive_1@583042/master.m3u8">https://hlsliveamdgl7-lh.akamaihd.net/i/hlsdvrlive_1@583042/master.m3u8
RTEspanol.es,RT en español,https://rt-esp.rttv.com/live/rtesp/playlist.m3u8
RaiNews.it,RAINEWS24,https://rainews1-live.akamaized.net/hls/live/598326/rainews1/rainews1/rainews_1800/chunklist.m3u8
ext,CCTV Notícias,https://cctvtxyhwh5c.liveplay.myqcloud.com/live/cdrmcctv13_1/index.m3u8

group,Pública
ext,TV MAIS NEWS,https://livecdn2.eventials.com/live/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhcHBsaWNhdGlvbl9uYW1lIjoiZXZlbnRpYWxzTGl2ZVRWIiwicHVibGlzaF9zdHJlYW1fbmFtZSI6InBkbml2MWkzbnkydXo0dmoifQ.JwWm054lZWMRmWPYBOrPs-urhvH8UY6pwxuMMwhTgUw/playlist.m3u8
ext,TV Cultura - TV Guará (MA),https://59f2354c05961.streamlock.net:1443/tvguara/_definst_/tvguara/playlist.m3u8
ext,TV Cultura - TV Futuro (RJ),https://streaming03.zas.media:1936/tvfuturo/tvfuturo/playlist.m3u8
ext,Cultura Pará,http://www.portalcultura.com.br/playerhtml/funtelpa/tv_funtelpa/playlist.m3u8
ext,Catve - Cultura (PR),https://5b33b873179a2.streamlock.net:1443/live/livestream/playlist.m3u8
ext,Paraná Turismo,http://200.189.113.201/hls/tve.m3u8
ext,TVE Bahia,http://stream2.ba.gov.br/hls-live/livepkgr/_definst_/irdeb/pgm-1.m3u8
ext,Rede Minas,https://v4-slbps-sambavideos.akamaized.net/live/3282%2C8114%2Cec4b5a296d97fa99bf990662f5b4f8e1%3Bbase64np%3BMc8VDxqNjXKCAf8%21/amlst%3AMc_tFgfGiHOdQXPB/chunklist_.m3u8
ext,TV Brasil  - Joinville,https://5c483b9d1019c.streamlock.net/8022/8022/playlist.m3u8
ext,TVE RS,http://streaming.procergs.com.br:1935/tve/stve/playlist.m3u8
ext,FDR - Futura (CE),http://stmv1.transmissaodigital.com/ronald6259/ronald6259/playlist.m3u8
ext,FonteTV (GO),http://wowza.softhost.com.br:1935/fonte/fontetv/playlist.m3u8
Tvcamara.br,TV Câmara,https://stream3.camara.gov.br/tv1/manifest.m3u8
ext,TV Metrópole,https://cdn-fundacao-2110.ciclano.io:1443/fundacao-2110/fundacao-2110/playlist.m3u8
ext,SescTV HD,https://slbps-ml-sambatech.akamaized.net/samba-live/2472/7424/8a00fe7cc36ac263b2c3e9324497d5ff/video/621b6f2c-2dc6-41f1-9302-f9583c96ee31_index.m3u8
ext,Canal Saúde,https://arkyvbre1g.zoeweb.tv/fiocruz/fiocruz/playlist.m3u8
ext,TV Aberta SP,https://cdn-canalpaulo.ciclano.io:1443/canalpaulo/canalpaulo/playlist.m3u8
ext,TV Maceió (AL),https://srv5.zcast.com.br/paulo4100/paulo4100/playlist.m3u8
ext,TV Faap,https://midia.faap.net/faaplatamlive-live/stream_720/livestream.m3u8
ext,TV Caravelas,https://59f1cbe63db89.streamlock.net:1443/tvcaravelas/_definst_/tvcaravelas/playlist.m3u8
ext,TV COM BRASIL,https://596639ebdd89b.streamlock.net/8032/8032/chunklist_w453009587.m3u8

group,Infantil
ext,Kuriakos Kids,http://c2.manasat.com:1935/kkids/kkids2/playlist.m3u8
ext,Retrô Cartoon,https://stmv1.srvif.com/retrotv/retrotv/playlist.m3u8
ext,Gospel Cartoon,https://stmv1.srvif.com/gospelcartoon/gospelcartoon/playlist.m3u8
ext,Locomotion - WebTV,http://51.222.85.85:81/hls/loco/index.m3u8

group,Filmes
ext,DarkFlix HD,https://video01.soultv.com.br/darkflix/darkflix/playlist.m3u8
ext,Gospel Movie TV,https://stmv1.srvif.com/gospelf/gospelf/playlist.m3u8
ext,KURIAKOS CINE,http://c2.manasat.com:1935/kcine/kcine3/playlist.m3u8
ext,CCTV Filmes,https://cctvcnchwh5c.v.cdn20.com/live/cdrmcctv6_1_1800/playlist.m3u8?wsApp=HLS

group,Esportes
ext,All Sports,https://5cf4a2c2512a2.streamlock.net/dgrau/dgrau/playlist.m3u8
ext,Red Bull TV,https://rbmn-live.akamaized.net/hls/live/622817/BoRB-US/master.m3u8

group,Religioso
ext,TV Evangelizar,https://5f593df7851db.streamlock.net/evangelizar/tv/playlist.m3u8
Redevida.br,Rede Vida,https://cvd1.cds.ebtcvd.net/live-redevida/smil:redevida.smil/playlist.m3u8
Tvaparecida.br,TV Aparecida,https://cdn.jmvstream.com/w/LVW-9716/LVW9716_HbtQtezcaw/playlist.m3u8
ext,Rede Século 21,https://cdn.jmvstream.com/w/LVW-10024/ngrp:LVW10024_H3QLdAY6kx_all/playlist.m3u8
ext,Novo Tempo,https://stream.live.novotempo.com/tv/smil:tvnovotempo.smil/playlist.m3u8
ext,IMPD TV,https://58a4464faef53.streamlock.net/impd/ngrp:impd_all/playlist.m3u8
ext,IURD TV,https://644398c.ha.azioncdn.net/primary/tvuniversal_480p.sdp/playlist.m3u8
Gospel.br,Rede Gospel,https://cdn.jmvstream.com/w/LVW-8719/LVW8719_AcLVAxWy5J/playlist.m3u8
ext,TV Pai Eterno,https://59f1cbe63db89.streamlock.net:1443/teste01/_definst_/teste01/playlist.m3u8
ext,Boas Novas,https://cdn.jmvstream.com/w/LVW-9375/LVW9375_6i0wPBCHYc/playlist.m3u8
EWTN.uk,EWTN,https://cdn3.wowza.com/1/YW5wSWZiRGd2eFlU/bGV0aVBq/hls/live/playlist.m3u8

group,Documentário
ext,TVídeoNews,https://video01.logicahost.com.br/tvideonews/tvideonews/playlist.m3u8
ext,RT Documentary Channel,https://rt-rtd.rttv.com/live/rtdoc/playlist.m3u8
CGTN.es,CGTN Español,https://livees.cgtn.com/1000e/prog_index.m3u8

group,Rádio
ext,FM O DIA 100.5 - ESTÚDIO AO VIVO,https://live.cdn.upx.com/omms9/myStream.sdp/playlist.m3u8
ext,CBN SP,https://medias.sgr.globo.com/hls/vCBNSP/vCBNSP.m3u8
ext,CBN RJ,https://medias.sgr.globo.com/hls/vCBNRJ/vCBNRJ.m3u8
ext,94 Atividade FM,https://v8.ciclano.io:1443/anderson/_definst_/anderson/playlist.m3u8

group,BRASIL
ext,RTV CANAL 38,https://cdn.jmvstream.com/w/LVW-8503/LVW8503_d0V5oduFlK/chunklist.m3u8
ext,CATVE PR,https://5b33b873179a2.streamlock.net:1443/live/livestream/playlist.m3u8
ext,MASTER TV PR,http://wowza4.catve.com.br:1935/mastertv/livestream/playlist.m3u8
ext,TV FUTURO,https://streaming03.zas.media:1936/tvfuturo/tvfuturo/playlist.m3u8
ext,TVE MS,https://5ee90cb3a07bb.streamlock.net/live-fertel/live-fertel/playlist.m3u8
ext,PLAN TV,https://live.cdn.upx.com/723b/myStream.sdp/playlist.m3u8
ext,TV POCOS,https://live.cdn.upx.com/00084/myStream.sdp/playlist.m3u8
ext,TV PARANA TURISMO,http://200.189.113.201/hls/tve.m3u8
ext,UNISUL TV,https://sitetv.brasilstream.com.br/hls/sitetv/index.m3u8?token=4792034880553908000
ext,TV BELTRAO 2,https://59f1cbe63db89.streamlock.net:1443/tvbeltrao2/_definst_/tvbeltrao2/chunklist_w1662797829.m3u8
ext,TV DIARIO DO BRASIL TV PREVE,https://video02.kshost.com.br/paulispar7372/paulispar7372/playlist.m3u8?t=
ext,REDE PAULISTA,https://596639ebdd89b.streamlock.net/8112/8112/playlist.m3u8
ext,TVE RS,http://streaming.procergs.com.br:1935/tve/stve/playlist.m3u8
ext,TV SDB,https://novo.bitstreaming.info:1936/8094/8094/playlist.m3u8
ext,TV UFSC,http://150.162.188.10:8080/hls/1.m3u8
ext,TVE ES,http://rbc.directradios.com:1935/rbc/smil:rbc.smil/playlist.m3u8
ext,CANAL SAUDE,https://arkyvbre1g.zoeweb.tv/fiocruz/fiocruz/playlist.m3u8
ext,TV CHROMA,https://5c483b9d1019c.streamlock.net:443/8054/8054/playlist.m3u8
ext,MULTI RIO,http://187.111.97.45:1935/webtv/webtv/playlist.m3u8
ext,REDE MINAS,https://v4-slbps-sambavideos.akamaized.net/live/3282%2C8114%2Cec4b5a296d97fa99bf990662f5b4f8e1%3Bbase64np%3BMc8VDxqNjXKCAf8%21/amlst%3AMc_tFgfGiHOdQXPB/chunklist.m3u8
ext,TV NTV,https://59f1cbe63db89.streamlock.net:1443/ntvnet/_definst_/ntvnet/playlist.m3u8
ext,TV ATIVIDADE,https://59f2354c05961.streamlock.net:1443/redeatividade/_definst_/redeatividade/playlist.m3u8
ext,TV VICOSA,http://wz4.dnip.com.br/fratevitv/fratevitv.sdp/playlist.m3u8
ext,TV GAZETA NORTE MINEIRA,https://59e4b6c1beddc.streamlock.net:443/tvgazeta/tvgazeta/playlist.m3u8
ext,TV THATHI,https://cdn-grupo-10049.ciclano.io:1443/grupo-10049/grupo-10049/playlist.m3u8
ext,TV O POVO,https://Stmv1.transmissaodigital.com/ronald6259/ronald6259/playlist.m3u8
ext,UNISC TV,http://tv.unisc.br:80/hls/test.m3u8
ext,FURG TV,http://stream.furg.br/hls/furgtv_480p.m3u8
ext,TV MACKENZIE,https://player.internetaovivo.com:8443/live_tvmackenzieabr/tvmackenzieabr/playlist.m3u8
ext,TV SETE LAGOAS,https://livefocamundo.com:8081/tvsetelagoas/index.m3u8
ext,TV COM BRASIL,https://596639ebdd89b.streamlock.net/8032/8032/chunklist_w453009587.m3u8
ext,TV COM DF,https://5b7f3c45ab7c2.streamlock.net:443/8008/smil:8008.smil/playlist.m3u8?DVR
ext,TV ABERTA SP,https://cdn-canalpaulo.ciclano.io:1443/canalpaulo/canalpaulo/playlist.m3u8
ext,TVC RIO,https://video01.logicahost.com.br/comunitariario/comunitariario/playlist.m3u8
ext,TV COM SANTOS,https://srv1.zcast.com.br/tvcomsantos/tvcomsantos/playlist.m3u8
ext,TV COM MACEIO,https://5a7d54e35f9d2.streamlock.net/z883-live/stream/playlist.m3u8
ext,CWB TV,https://59d39900ebfb8.streamlock.net/cwbtv/cwbtv/playlist.m3u8
ext,REDE CIDADE RIO GRANDE,https://59f2354c05961.streamlock.net:1443/redecidade/_definst_/redecidade/playlist.m3u8
ext,BEM TV,http://wz4.dnip.com.br/bemtv/bemtv.sdp/playlist.m3u8
tvcen,TVC,https://5ad482a77183d.streamlock.net/financeirotvc21.com.br/financeirotvc21.com.br/playlist.m3u8
ext,TV ALTERNATIVA,https://stmv1.samcast.com.br/wagner7919/wagner7919/playlist.m3u8
ext,TV GRAO PARA,https://video01.kshost.com.br:4443/moises3834/moises3834/playlist.m3u8
ext,PEGADINHAS,http://service-stitcher.clusters.pluto.tv/stitch/hls/channel/60a286daf888610007669801/master.m3u8?advertisingId=&appName=web&appVersion=unknown&appStoreUrl=&architecture=&buildVersion=&clientTime=0&deviceDNT=0&deviceId=65b02980-f3eb-11eb-8277-1f560e8d79bd&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&sid=ca421eb5-e83c-4e34-97f4-f9566ee8dada&userId=&serverSideAds=true
ext,TV BRICS,https://porbrics.mediacdn.ru/cdn/brics/portuguese/playlist.m3u8
ext,EU TV,https://cdn.jmvstream.com/w/LVW-8719/LVW8719_AcLVAxWy5J/playlist.m3u8
ext,VRT CHANNEL,https://sistemavrt.vrtchannel.tv.br:3473/stream/play.m3u8
ext,NATURE TV,https://stmv1.srvif.com/nattv/nattv/playlist.m3u8
ext,TV BRAGA BRASIL,https://alanza.iptv2022.com/Braga_Brasil/index.m3u8
ext,ANIME ZONE TV,https://azxtv.com/hls/stream.m3u8
ext,TV SERIES 1 AS PANTERAS,https://stmv1.srvif.com/tvserie/tvserie/chunklist_w173840741.m3u8
ext,TV SERIES 2 MULHER BIONICA,https://stmv1.srvif.com/tvserie2/tvserie2/chunklist_w1556462638.m3u8
ext,TV SERIES 3 STAR TREK,https://stmv1.srvif.com/tvserie3/tvserie3/playlist.m3u8
ext,TV SERIES 4 CHIPS,https://stmv1.srvif.com/tvserie4/tvserie4/chunklist_w1474334923.m3u8
ext,TV SERIES 5 GUERRA SOMBRA E AGUA FRESCA,https://stmv1.srvif.com/tvserie5/tvserie5/chunklist_w983909720.m3u8
ext,TV DO POVO,https://video01.logicahost.com.br/tvdopovo1/tvdopovo1/playlist.m3u8
ext,TV A7 CALDAS NOVAS,https://srv3.zcast.com.br/wellington7720/wellington7720/playlist.m3u8
ext,TV POTENGI,https://stmv4.samcast.com.br/jeova3318/jeova3318/playlist.m3u8
ext,TV NOVA PLAY,https://srv4.zcast.com.br/tvnovaplay/tvnovaplay/chunklist_w1739392633.m3u8
ext,TV CARIOCA NET,https://srv5.zcast.com.br/tvcarioca/tvcarioca/playlist.m3u8
Channel1.il,CHANNEL 1,https://stmv1.srvif.com/channel1/channel1/chunklist_w1167270397.m3u8
ext,TV RIO PRETO,http://201.48.245.24:1935/live/livestream/chunklist_w1259062615.m3u8
ext,IMPERIAL TV,https://5d2c98775bafe.streamlock.net/8098/8098/playlist.m3u8
ext,REDE PREMIUM TV,https://5c483b9d1019c.streamlock.net/8066/8066/playlist.m3u8
